Sample Checking,ISIN,Ticker,Quantity,Name,Last ClosePrice,Takara UMD 0408 LCP,Currency,Takara UMD 0408 CCY, Listed Exchange ,Section,Takara Prim Exchange,Market Cap USD,Takara UMD 0408 CUR_MKT_CAP,CUR_MKT_CAP in USD Million, Equity Shares Outstanding Mio ,Takara UMD 0408 EQY_SH_OUT,EQY_SH_OUT IN MIL, vol_260d_cal ,Takara UMD 0416 vol_260d_calc,3M Volume,Takara UMD 0408  VOLUME_AVG_3M,Average Traded Value_3M (USD),Takara UMD 0408  AVG_DAILY_VALUE_TRADED_3M,AVG_DAILY_VALUE_TRADED_3M in USD,HC Formula (%),HC Bucketing (%),HC mcap (%),"HC Max(HCmcap,formula) (%)",Penny stock penalty (if any),Full Equity Financing,Equity Financing up to LP10, Market Value USD , Full Equity Collateral Value USD , Collateral Value USD 
,US64110W1027,NTES UW,"5,000,000",NETEASE INC-ADR,105.76,,USD,, NASDAQ GS ,#N/A Field Not Applicable,#N/A,"68,210 Million",,, 644.95 ,,, 39.05 ,,"731,674",,"71,517,784",,,38.4%,21.25%,42.25%,42.25%,42.25%,55%,10%," 528,800,000 "," 290,840,000 "," 52,880,000 "
1,JP3765150002,6324 JP,"2,841,600",HARMONIC DRIVE SYSTEMS INC,4300,4050,JPY,JPY, Tokyo ,Tokyo Standard,,"2,892 Million",390077.37,2535.502905, 96.32 ,96315000,96.315, 47.19 , 47.34 ,"473,652",472233.9,"13,422,394",1863900000,12115350,42.53%,31.75%,47.5%,47.5%,47.5%,50%,10%," 81,253,358 "," 40,626,679 "," 8,125,336 "
,US81761L1026,SVC UW,"800,000",SERVICE PROPERTIES TRUST,6.46,,USD,, NASDAQ GS ,#N/A Field Not Applicable,#N/A,"1,071 Million",,, 165.77 ,,, 36.46 ,,"394,714",,"2,928,593",,,25.23%,31.75%,26.5%,31.75%,42.25%,55%,25%," 5,168,000 "," 2,842,400 "," 1,292,000 "
1,KYG844081060,1252 HK,"28,700,000",CHINA TIANRUI GROUP CEMENT C,5.26,5.08,HKD,HKD, Hong Kong ,#N/A Field Not Applicable,HK,"2,068 Million",14926.47,1940.4411," 2,938.28 ",2938282000,2938.282, 32.06 , 466.58 ,"295,508",277403.2,"201,966",1506248,195812.24,73.71%,31.75%,73.75%,73.75%,73.75%,25%,0%," 19,300,901 "," 4,825,225 ", -   
1,KYG875721634,700 HK,"303,858",TENCENT HOLDINGS LTD,289.8,306.2,HKD,HKD, Hong Kong ,#N/A Field Not Applicable,HK,"344,032 Million",2897286.24,376647.2112," 9,431.78 ",9462045000,9462.045, 35.19 , 34.08 ,"24,025,050",22402250,"870,743,722",6383878000,829904140,16.9%,21.25%,21.25%,21.25%,21.25%,75%,75%," 11,258,460 "," 8,443,845 "," 8,443,845 "
,SG2F08984575,FEHT SP,"125,000",FAR EAST HOSPITALITY TRUST,0.62,,SGD,#N/A, Singapore ,#N/A Field Not Applicable,#N/A,910 Million,,," 2,005.07 ",,, 21.67 ,,"1,461,684",,"672,333",,,10.78%,52.75%,21.25%,52.75%,84.25%,15%,15%," 57,732 "," 8,660 "," 8,660 "
1,CNE100000205,3328 HK,"3,279,155",BANK OF COMMUNICATIONS CO-H,5.19,5.09,HKD,HKD, Hong Kong ,#N/A Field Not Applicable,HK,"56,357 Million",454765.68,59119.5384," 35,011.86 ",35011860000,35011.86, 25.10 , 23.55 ,"17,905,380",20024990,"11,164,551",99042380,12875509.4,12.53%,21.25%,21.25%,21.25%,21.25%,75%,75%," 2,175,902 "," 1,631,926 "," 1,631,926 "
1,HK0000337987,3329 HK,"7,383",BOCOM INTERNATIONAL HOLDINGS,0.305,0.28,HKD,HKD, Hong Kong ,#N/A Field Not Applicable,HK,103 Million,765.63,99.5319," 2,734.39 ",2734392000,2734.392, 52.38 , 49.96 ,"474,817",409867.9,"19,625",128398.5,16691.805,24.09%,100.%,26.5%,100.%,100.%,0%,0%, 288 , -   , -   
1,CNE1000002L3,2628 HK,"167,280",CHINA LIFE INSURANCE CO-H,9.61,9.17,HKD,HKD, Hong Kong ,#N/A Field Not Applicable,HK,"92,628 Million",719344.52,93514.7876," 7,441.18 ",7441175000,7441.175, 36.82 , 36.28 ,"30,105,470",33098140,"36,250,045",309515600,40237028,17.61%,21.25%,21.25%,21.25%,21.25%,75%,75%," 205,531 "," 154,148 "," 154,148 "
1,CNE1000003G1,1398 HK,"1,470,000",IND & COMM BK OF CHINA-H,3.96,3.96,HKD,HKD, Hong Kong ,#N/A Field Not Applicable,HK,"236,630 Million",1899029.99,246873.8987," 86,794.04 ",86794040000,86794.04, 24.77 , 21.87 ,"217,718,100",229233900,"107,502,137",891863900,115942307,12.22%,21.25%,21.25%,21.25%,21.25%,75%,75%," 744,256 "," 558,192 "," 558,192 "
,KYG017191142,9988 HK,"5,000",ALIBABA GROUP HOLDING LTD,72,70.05,HKD,HKD, Hong Kong ,#N/A Field Not Applicable,HK,"185,156 Million",,," 20,347.39 ",,, 39.31 ,,"48,805,940",,"447,291,960",,,18.69%,21.25%,21.25%,21.25%,21.25%,75%,75%," 46,027 "," 34,520 "," 34,520 "
,SG1T66931158,CDREIT SP,"1,590",CDL HOSPITALITY TRUSTS,0.975,,SGD,#N/A, Singapore ,#N/A Field Not Applicable,#N/A,883 Million,,," 1,247.30 ",,, 21.71 ,,"1,998,551",,"1,471,156",,,10.79%,52.75%,21.25%,52.75%,84.25%,15%,15%," 1,155 ", 173 , 173 
,US1729674242,C US,"4,000",CITIGROUP INC,58.63,,USD,USD, New York ,#N/A Field Not Applicable,UN,"112,063 Million",,," 1,911.37 ",,, 25.83 ,,"17,112,232",,"927,001,344",,,12.71%,21.25%,21.25%,21.25%,21.25%,75%,75%," 234,520 "," 175,890 "," 175,890 "
,SG1R89002252,CIT SP,"10,000",CITY DEVELOPMENTS LTD,5.85,,SGD,SGD, Singapore ,#N/A Field Not Applicable,SP,"3,816 Million",,, 901.29 ,,, 20.99 ,,"2,732,106",,"12,001,264",,,10.46%,31.75%,21.25%,31.75%,31.75%,65%,65%," 43,579 "," 28,326 "," 28,326 "
,SG1N31909426,CD SP,"50,000",COMFORTDELGRO CORP LTD,1.38,,SGD,SGD, Singapore ,#N/A Field Not Applicable,SP,"2,171 Million",,," 2,165.71 ",,, 18.41 ,,"4,560,021",,"4,594,967",,,9.23%,31.75%,21.25%,31.75%,31.75%,65%,65%," 51,400 "," 33,410 "," 33,410 "
,SG1G47869290,CSE SP,"210,000",CSE GLOBAL LTD,0.41,,SGD,SGD, Singapore ,#N/A Field Not Applicable,SP,184 Million,,, 617.76 ,,, 24.48 ,,"1,198,703",,"364,206",,,12.22%,100.%,21.25%,100.%,100.%,0%,0%," 64,139 ", -   , -   
,SG1R43925234,FRKN SP,"50,000",FRENCKEN GROUP LTD,1.62,,SGD,SGD, Singapore ,#N/A Field Not Applicable,SP,521 Million,,, 427.03 ,,, 39.26 ,,"4,193,337",,"4,397,111",,,18.66%,52.75%,21.25%,52.75%,52.75%,45%,45%," 60,340 "," 27,153 "," 27,153 "
,SGXE21576413,GENS SP,"100,000",GENTING SINGAPORE LTD,0.88,,SGD,SGD, Singapore ,#N/A Field Not Applicable,SP,"7,672 Million",,," 12,072.03 ",,, 25.75 ,,"27,551,220",,"19,294,553",,,12.67%,21.25%,21.25%,21.25%,31.75%,65%,65%," 65,554 "," 42,610 "," 42,610 "
,KYG8208B1014,9618 HK,238,JD.COM INC-CLASS A,107.3,102.9,HKD,HKD, Hong Kong ,#N/A Field Not Applicable,HK,"42,881 Million",,," 2,756.64 ",,, 48.22 ,,"11,674,070",,"142,100,238",,,22.41%,21.25%,26.5%,26.5%,26.5%,70%,70%," 3,265 "," 2,286 "," 2,286 "
,SG1U68934629,KEP SP,"50,000",KEPPEL LTD,7.17,,SGD,SGD, Singapore ,#N/A Field Not Applicable,SP,"9,216 Million",,," 1,774.66 ",,, 21.19 ,,"3,450,955",,"17,796,354",,,10.55%,21.25%,21.25%,21.25%,21.25%,75%,75%," 267,059 "," 200,294 "," 200,294 "
,SG1T22929874,KREIT SP,"60,000",KEPPEL REIT,0.85,,SGD,#N/A, Singapore ,#N/A Field Not Applicable,#N/A,"2,363 Million",,," 3,805.41 ",,, 16.96 ,,"9,091,478",,"5,950,799",,,8.54%,31.75%,21.25%,31.75%,42.25%,55%,55%," 37,992 "," 20,895 "," 20,895 "
,BMG5958R1043,MED SP,"10,000",MEDTECS INTERNATIONAL CORP,0.131,,SGD,SGD, Singapore ,#N/A Field Not Applicable,SP,52 Million,,, 544.91 ,,, 57.44 ,,"10,512,180",,"1,328,578",,,26.09%,100.%,26.5%,100.%,100.%,0%,0%, 976 , -   , -   
,KYG596691041,3690 HK,500,MEITUAN-CLASS B,90.4,100.4,HKD,HKD, Hong Kong ,#N/A Field Not Applicable,HK,"71,177 Million",,," 5,634.44 ",,, 48.82 ,,"43,103,900",,"425,753,321",,,22.65%,21.25%,26.5%,26.5%,26.5%,70%,70%," 5,779 "," 4,045 "," 4,045 "
,JP3902900004,8306 JP,"25,000",MITSUBISHI UFJ FINANCIAL GRO,1533.5,,JPY,, Tokyo ,Tokyo Prime,,"135,397 Million",,," 12,337.71 ",,, 30.47 ,,"74,447,670",,"752,107,192",,,14.81%,21.25%,21.25%,21.25%,21.25%,75%,75%," 254,937 "," 191,203 "," 191,203 "
,SG1I52882764,SATS SP,"34,500",SATS LTD,2.53,,SGD,SGD, Singapore ,#N/A Field Not Applicable,SP,"2,685 Million",,," 1,490.63 ",,, 23.46 ,,"4,390,212",,"8,699,404",,,11.61%,31.75%,21.25%,31.75%,31.75%,65%,65%," 65,022 "," 42,264 "," 42,264 "
,SG1H97877952,STM SP,"954,251",SEATRIUM LTD,0.081,,SGD,SGD, Singapore ,#N/A Field Not Applicable,SP,"3,914 Million",,," 68,217.08 ",,, 37.61 ,,"409,323,500",,"28,771,259",,,17.96%,31.75%,21.25%,31.75%,42.25%,55%,55%," 57,579 "," 31,669 "," 31,669 "
,SG1R50925390,SCI SP,"200,000",SEMBCORP INDUSTRIES LTD,5.11,,SGD,SGD, Singapore ,#N/A Field Not Applicable,SP,"6,606 Million",,," 1,779.98 ",,, 30.62 ,,"3,491,057",,"13,607,946",,,14.88%,21.25%,21.25%,21.25%,21.25%,75%,75%," 761,323 "," 570,992 "," 570,992 "
,SG1I53882771,SIE SP,"110,000",SIA ENGINEERING CO LTD,2.26,,SGD,SGD, Singapore ,#N/A Field Not Applicable,SP,"1,842 Million",,," 1,122.37 ",,, 15.46 ,,"173,435",,"291,958",,,8.94%,31.75%,21.25%,31.75%,31.75%,65%,65%," 185,191 "," 120,374 "," 120,374 "
,SG1N89910219,SPOST SP,"100,000",SINGAPORE POST LTD,0.38,,SGD,SGD, Singapore ,#N/A Field Not Applicable,SP,662 Million,,," 2,249.95 ",,, 24.43 ,,"1,840,056",,"563,748",,,12.06%,52.75%,21.25%,52.75%,84.25%,15%,15%," 28,308 "," 4,246 "," 4,246 "
,SG1T75931496,ST SP,"100,000",SINGAPORE TELECOMMUNICATIONS,2.49,,SGD,SGD, Singapore ,#N/A Field Not Applicable,SP,"30,087 Million",,," 16,503.35 ",,, 18.31 ,,"26,774,780",,"46,570,577",,,9.19%,21.25%,21.25%,21.25%,21.25%,75%,75%," 185,489 "," 139,117 "," 139,117 "
,MYL1821OO007,SHB MK,"15,000",SRI HARTAMAS BERHAD,#N/A N/A,,MYR,#N/A, #N/A Field Not Applicable ,#N/A Field Not Applicable,#N/A,,,, 860.08 ,,, #N/A N/A ,,#N/A N/A,,,,,0.%,21.25%,21.25%,21.25%,#VALUE!,0%,0%, -   , -   , -   
,SG1V12936232,STH SP,"150,000",STARHUB LTD,1.17,,SGD,SGD, Singapore ,#N/A Field Not Applicable,SP,"1,458 Million",,," 1,715.53 ",,, 19.00 ,,"1,089,643",,"882,502",,,9.55%,31.75%,21.25%,31.75%,31.75%,65%,65%," 130,736 "," 84,978 "," 84,978 "
,TW0001802007,1802 TT,"39,710",TAIWAN GLASS IND CORP,17.4,,TWD,TWD, Taiwan ,#N/A Field Not Applicable,TT,,,," 2,908.06 ",,, 32.07 ,,"3,042,419",,,,,0.%,21.25%,21.25%,21.25%,#N/A,0%,0%, -   , -   , -   
,US92189F6768,SMH US,80,VANECK SEMICONDUCTOR ETF,218.28,,USD,USD, NASDAQ GM ,#N/A Field Not Applicable,UQ,"17,624 Million",,, 80.74 ,,, 28.02 ,,"8,681,024",,"1,714,219,136",,,13.71%,21.25%,21.25%,21.25%,21.25%,75%,75%," 17,462 "," 13,097 "," 13,097 "
,HK0000642568,3033 HK,"100,000",CSOP HANG SENG TECH INDE-HKD,3.512,3.394,HKD,HKD, Hong Kong ,#N/A Field Not Applicable,HK,"3,785 Million",,," 8,541.40 ",,, 34.35 ,,"501,107,200",,"213,769,166",,,16.54%,31.75%,21.25%,31.75%,31.75%,65%,65%," 44,902 "," 29,186 "," 29,186 "
,JP3854600008,7267 JP,729,HONDA MOTOR CO LTD,1830.5,,JPY,, Tokyo ,Tokyo Prime,,"70,709 Million",,," 5,280.00 ",,, 27.23 ,,"16,517,340",,"196,972,843",,,13.35%,21.25%,21.25%,21.25%,21.25%,75%,75%," 8,874 "," 6,655 "," 6,655 "
,US62914V1061,NIO US,"1,520",NIO INC - ADR,5.54,,USD,#N/A, New York ,#N/A Field Not Applicable,#N/A,"11,482 Million",,," 1,924.11 ",,, 67.70 ,,"62,641,300",,"424,285,632",,,29.97%,21.25%,31.75%,31.75%,42.25%,55%,55%," 8,421 "," 4,631 "," 4,631 "
,US0079031078,AMD US,"1,360",ADVANCED MICRO DEVICES,190.65,,USD,USD, NASDAQ GS ,#N/A Field Not Applicable,UW,"308,050 Million",,," 1,615.79 ",,, 47.95 ,,"75,414,424",,"12,942,617,600",,,22.3%,21.25%,26.5%,26.5%,26.5%,70%,70%," 259,284 "," 181,499 "," 181,499 "
,US03209R1032,AMPH US,"24,558",AMPHASTAR PHARMACEUTICALS IN,42.85,,USD,USD, NASDAQ GS ,#N/A Field Not Applicable,UW,"2,061 Million",,, 48.10 ,,, 47.44 ,,"489,301",,"26,089,648",,,22.09%,31.75%,26.5%,31.75%,31.75%,65%,65%," 1,052,310 "," 684,002 "," 684,002 "
,HK2388011192,2388 HK,"35,611",BOC HONG KONG HOLDINGS LTD,21.2,22.45,HKD,HKD, Hong Kong ,#N/A Field Not Applicable,HK,"28,416 Million",,," 10,572.78 ",,, 21.13 ,,"11,131,890",,"28,208,642",,,10.52%,21.25%,21.25%,21.25%,21.25%,75%,75%," 96,523 "," 72,392 "," 72,392 "
,KYG2121R1039,772 HK,4,CHINA LITERATURE LTD,27.35,25.2,HKD,HKD, Hong Kong ,#N/A Field Not Applicable,HK,"3,320 Million",,," 1,023.39 ",,, 55.94 ,,"4,262,025",,"14,013,029",,,25.5%,31.75%,26.5%,31.75%,31.75%,65%,65%, 14 , 9 , 9 
,HK0941009539,941 HK,"37,726",CHINA MOBILE LTD,66.05,66.75,HKD,HKD, Hong Kong ,#N/A Field Not Applicable,HK,"186,198 Million",,," 20,494.08 ",,, 20.02 ,,"17,621,190",,"148,913,533",,,10.%,21.25%,21.25%,21.25%,21.25%,75%,75%," 318,584 "," 238,938 "," 238,938 "
,HK0000562642,9845 HK,"1,600",GLOBAL X CHINA ELECTRIC -USD,9.79,,USD,USD, Hong Kong ,#N/A Field Not Applicable,HK,178 Million,,, 18.35 ,,, 28.21 ,,"74,452",,"651,089",,,13.8%,100.%,21.25%,100.%,100.%,0%,0%," 15,664 ", -   , -   
,GB0005405286,5 HK,"28,081",HSBC HOLDINGS PLC,59.6,641.7,HKD,GBp, Hong Kong ,#N/A Field Not Applicable,LN,"144,676 Million",,," 18,998.47 ",,, 21.04 ,,"19,253,030",,"149,472,317",,,10.48%,21.25%,21.25%,21.25%,21.25%,75%,75%," 213,978 "," 160,483 "," 160,483 "
,JP3228600007,9503 JP,"1,600",KANSAI ELECTRIC POWER CO INC,2112,,JPY,, Tokyo ,Tokyo Prime,,"14,433 Million",,, 938.73 ,,, 28.91 ,,"3,070,210",,"42,872,793",,,14.11%,21.25%,21.25%,21.25%,21.25%,75%,75%," 22,471 "," 16,853 "," 16,853 "
,JP3869010003,3088 JP,"2,600",MATSUKIYOCOCOKARA & CO,2400.5,,JPY,, Tokyo ,Tokyo Prime,,"7,428 Million",,, 428.90 ,,, 26.72 ,,"1,378,438",,"25,330,764",,,13.12%,21.25%,21.25%,21.25%,21.25%,75%,75%," 41,504 "," 31,128 "," 31,128 "
,US5949181045,MSFT UW,168,MICROSOFT CORP,417.32,,USD,USD, NASDAQ GS ,#N/A Field Not Applicable,UW,"3,100,870 Million",,," 7,430.44 ",,, 23.08 ,,"7,623,476",,"3,038,734,336",,,11.43%,21.25%,21.25%,21.25%,21.25%,75%,75%," 70,110 "," 52,582 "," 52,582 "
,HK0000608585,17 HK,"16,482",NEW WORLD DEVELOPMENT,9.31,8.44,HKD,HKD, Hong Kong ,#N/A Field Not Applicable,HK,"2,960 Million",,," 2,516.63 ",,, 39.26 ,,"13,854,530",,"17,602,273",,,18.66%,31.75%,21.25%,31.75%,31.75%,65%,65%," 19,619 "," 12,752 "," 12,752 "
,HK0006000050,6 HK,"11,109",POWER ASSETS HOLDINGS LTD,46.1,44.95,HKD,HKD, Hong Kong ,#N/A Field Not Applicable,HK,"12,533 Million",,," 2,131.11 ",,, 19.21 ,,"2,779,464",,"16,243,134",,,9.61%,21.25%,21.25%,21.25%,21.25%,75%,75%," 65,477 "," 49,107 "," 49,107 "
,JP3436100006,9984 JP,"1,714",SOFTBANK GROUP CORP,8790,,JPY,, Tokyo ,Tokyo Prime,,"93,159 Million",,," 1,470.00 ",,, 35.36 ,,"10,966,230",,"609,219,628",,,16.98%,21.25%,21.25%,21.25%,21.25%,75%,75%," 100,187 "," 75,140 "," 75,140 "
,US88160R1014,TSLA US,725,TESLA INC,173.8,,USD,USD, NASDAQ GS ,#N/A Field Not Applicable,UW,"553,517 Million",,," 3,184.79 ",,, 49.53 ,,"105,908,768",,"21,817,733,120",,,22.94%,21.25%,26.5%,26.5%,26.5%,70%,70%," 126,005 "," 88,204 "," 88,204 "
,MHY2187A1507,EGLE UN,33,EAGLE BULK SHIPPING INC,62.99,,USD,USD, New York ,#N/A Field Not Applicable,UN,697 Million,,, 11.07 ,,, 35.33 ,,"38,320",,"2,186,393",,,16.97%,52.75%,21.25%,52.75%,52.75%,45%,45%," 2,079 ", 935 , 935 
,HK0000637832,3191 HK,"10,000",GLOBAL X CHINA SEMICONDU-HKD,35.2,32.6,HKD,HKD, Hong Kong ,#N/A Field Not Applicable,HK,56 Million,,, 12.60 ,,, 30.64 ,,"53,642",,"225,162",,,15.09%,100.%,21.25%,100.%,100.%,0%,0%," 45,004 ", -   , -   
,HK0000562659,2845 HK,"3,900",GLOBAL X CHINA ELECTRIC -HKD,76.7,74.82,HKD,HKD, Hong Kong ,#N/A Field Not Applicable,HK,178 Million,,, 18.35 ,,, 28.37 ,,"106,674",,"939,221",,,13.87%,100.%,21.25%,100.%,100.%,0%,0%," 38,245 ", -   , -   
,HK0000651213,3067 HK,"619,000",ISHARES HANG SENG TECH E-HKD,7.53,7.26,HKD,HKD, Hong Kong ,#N/A Field Not Applicable,HK,"1,198 Million",,," 1,264.20 ",,, 34.42 ,,"19,174,460",,"17,165,293",,,16.57%,31.75%,21.25%,31.75%,31.75%,65%,65%," 595,930 "," 387,355 "," 387,355 "
,JP3893600001,8031 JP,475,MITSUI & CO LTD,6645,,JPY,, Tokyo ,Tokyo Prime,,"73,608 Million",,," 1,513.59 ",,, 30.50 ,,"4,114,298",,"179,089,446",,,14.83%,21.25%,21.25%,21.25%,21.25%,75%,75%," 20,989 "," 15,742 "," 15,742 "
,KYG8062L1041,20 HK,"910,000",SENSETIME GROUP INC-CLASS B,0.84,0.65,HKD,HKD, Hong Kong ,#N/A Field Not Applicable,HK,"3,512 Million",,," 25,948.81 ",,, 57.15 ,,"223,568,300",,"26,319,157",,,25.97%,31.75%,26.5%,31.75%,31.75%,65%,65%," 97,731 "," 63,525 "," 63,525 "
,CNE100000296,1211 HK,480,BYD CO LTD-H,216.8,196.9,HKD,HKD, Hong Kong ,#N/A Field Not Applicable,HK,"84,707 Million",,," 1,098.00 ",,, 35.50 ,,"8,834,217",,"220,235,493",,,17.04%,21.25%,21.25%,21.25%,21.25%,75%,75%," 13,305 "," 9,979 "," 9,979 "
,US1667641005,CVX US,"1,000",CHEVRON CORP,155.41,,USD,USD, New York ,#N/A Field Not Applicable,UN,"288,638 Million",,," 1,857.27 ",,, 22.29 ,,"8,816,085",,"1,323,314,304",,,11.07%,21.25%,21.25%,21.25%,21.25%,75%,75%," 155,410 "," 116,558 "," 116,558 "
,CNE1000002F5,1800 HK,"36,000",CHINA COMMUNICATIONS CONST-H,3.81,3.97,HKD,HKD, Hong Kong ,#N/A Field Not Applicable,HK,"15,757 Million",,," 4,418.48 ",,, 33.87 ,,"12,942,950",,"6,017,721",,,16.33%,21.25%,21.25%,21.25%,21.25%,75%,75%," 17,536 "," 13,152 "," 13,152 "
,HK0688002218,688 HK,"40,000",CHINA OVERSEAS LAND & INVEST,10.9,11.94,HKD,HKD, Hong Kong ,#N/A Field Not Applicable,HK,"14,680 Million",,," 10,944.88 ",,, 39.69 ,,"19,269,010",,"29,149,436",,,18.85%,21.25%,21.25%,21.25%,21.25%,75%,75%," 55,744 "," 41,808 "," 41,808 "
,CNE1000016V2,6030 HK,"34,500",CITIC SECURITIES CO LTD-H,14.34,12.48,HKD,HKD, Hong Kong ,#N/A Field Not Applicable,HK,"40,055 Million",,," 2,620.08 ",,, 32.95 ,,"9,728,114",,"18,740,779",,,15.92%,21.25%,21.25%,21.25%,21.25%,75%,75%," 63,253 "," 47,439 "," 47,439 "
,US30231G1022,XOM US,"1,000",EXXON MOBIL CORP,112.3,,USD,USD, New York ,#N/A Field Not Applicable,UN,"445,589 Million",,," 3,967.84 ",,, 24.08 ,,"18,847,964",,"1,942,605,568",,,11.9%,21.25%,21.25%,21.25%,21.25%,75%,75%," 112,300 "," 84,225 "," 84,225 "
,JP3893200000,8801 JP,150,MITSUI FUDOSAN CO LTD,4520,,JPY,, Tokyo ,Tokyo Prime,,"32,059 Million",,, 936.88 ,,, 26.74 ,,"3,547,825",,"99,405,848",,,13.12%,21.25%,21.25%,21.25%,21.25%,75%,75%," 4,509 "," 3,381 "," 3,381 "
,JP3885780001,8411 JP,800,MIZUHO FINANCIAL GROUP INC,2966,,JPY,, Tokyo ,Tokyo Prime,,"53,844 Million",,," 2,539.25 ",,, 27.99 ,,"13,454,800",,"261,959,839",,,13.7%,21.25%,21.25%,21.25%,21.25%,75%,75%," 15,779 "," 11,834 "," 11,834 "
,US67066G1040,NVDA US,182,NVIDIA CORP,884.55,,USD,USD, NASDAQ GS ,#N/A Field Not Applicable,UW,"2,211,375 Million",,," 2,500.00 ",,, 46.11 ,,"50,918,636",,"35,212,886,016",,,21.54%,21.25%,26.5%,26.5%,26.5%,70%,70%," 160,988 "," 112,692 "," 112,692 "
,CNE1000003X6,2318 HK,"10,000",PING AN INSURANCE GROUP CO-H,35.65,32.6,HKD,HKD, Hong Kong ,#N/A Field Not Applicable,HK,"95,871 Million",,," 7,447.58 ",,, 38.96 ,,"39,895,170",,"172,931,374",,,18.54%,21.25%,21.25%,21.25%,21.25%,75%,75%," 45,579 "," 34,185 "," 34,185 "
,FR0000130809,GLE FP,"2,153",SOCIETE GENERALE SA,23.71,,EUR,EUR, EN Paris ,#N/A Field Not Applicable,FP,"20,008 Million",,, 802.98 ,,, 29.19 ,,"2,947,603",,"70,857,827",,,14.24%,21.25%,21.25%,21.25%,21.25%,75%,75%," 55,384 "," 41,538 "," 41,538 "
,HK0016000132,16 HK,"10,000",SUN HUNG KAI PROPERTIES,76.25,74.5,HKD,HKD, Hong Kong ,#N/A Field Not Applicable,HK,"28,427 Million",,," 2,897.78 ",,, 24.64 ,,"4,268,091",,"42,081,232",,,12.16%,21.25%,21.25%,21.25%,21.25%,75%,75%," 97,488 "," 73,116 "," 73,116 "
,US8740391003,TSM US,"1,545",TAIWAN SEMICONDUCTOR-SP ADR,136.64,,USD,#N/A, New York ,#N/A Field Not Applicable,#N/A,"708,753 Million",,," 5,187.01 ",,, 32.50 ,,"14,781,298",,"1,837,781,376",,,15.72%,21.25%,21.25%,21.25%,21.25%,75%,75%," 211,109 "," 158,332 "," 158,332 "
,US0423157058,ARR US,460,ARMOUR RESIDENTIAL REIT INC,18.69,,USD,#N/A, New York ,#N/A Field Not Applicable,#N/A,911 Million,,, 48.75 ,,, 33.22 ,,"1,216,293",,"23,354,330",,,16.04%,52.75%,21.25%,52.75%,52.75%,45%,45%," 8,597 "," 3,869 "," 3,869 "
,JP3116000005,2502 JP,"9,000",ASAHI GROUP HOLDINGS LTD,5488,,JPY,, Tokyo ,Tokyo Prime,,"20,150 Million",,, 507.00 ,,, 20.99 ,,"1,934,607",,"74,705,008",,,10.46%,21.25%,21.25%,21.25%,21.25%,75%,75%," 328,448 "," 246,336 "," 246,336 "
,JP3100190002,4985 JP,"1,000",EARTH CORP,4355,,JPY,, Tokyo ,Tokyo Prime,,694 Million,,, 22.14 ,,, 18.17 ,,"124,740",,"3,970,946",,,9.12%,52.75%,21.25%,52.75%,52.75%,45%,45%," 28,960 "," 13,032 "," 13,032 "
,JP3813500000,5940 JP,"1,300",FUJISASH CO LTD,92,,JPY,, Tokyo ,Tokyo Standard,,83 Million,,, 126.27 ,,, 31.30 ,,"702,240",,"435,913",,,15.19%,100.%,21.25%,100.%,100.%,0%,0%, 795 , -   , -   
,JP3946750001,7182 JP,"1,000",JAPAN POST BANK CO LTD,1649,,JPY,, Tokyo ,Tokyo Prime,,"43,534 Million",,," 3,617.60 ",,, 20.54 ,,"7,079,639",,"77,952,224",,,10.25%,21.25%,21.25%,21.25%,21.25%,75%,75%," 10,966 "," 8,224 "," 8,224 "
,JP3868400007,7261 JT,"1,600",MAZDA MOTOR CORP,1714.5,,JPY,, Tokyo ,Tokyo Prime,,"7,971 Million",,, 631.80 ,,, 38.93 ,,"6,019,194",,"73,926,647",,,18.52%,21.25%,21.25%,21.25%,21.25%,75%,75%," 18,242 "," 13,681 "," 13,681 "
,JP3639650005,7532 JP,"2,000",PAN PACIFIC INTERNATIONAL HO,3815,,JPY,, Tokyo ,Tokyo Prime,,"17,985 Million",,, 634.88 ,,, 28.62 ,,"1,774,558",,"43,270,307",,,13.98%,21.25%,21.25%,21.25%,21.25%,75%,75%," 50,738 "," 38,054 "," 38,054 "
,BMG0171K1018,241 HK,"104,871",ALIBABA HEALTH INFORMATION T,3.51,2.81,HKD,HKD, Hong Kong ,#N/A Field Not Applicable,HK,"6,982 Million",,," 16,091.74 ",,, 48.90 ,,"33,627,440",,"14,590,217",,,22.69%,21.25%,26.5%,26.5%,26.5%,70%,70%," 47,062 "," 32,944 "," 32,944 "
,KYG210961051,2319 HK,"55,000",CHINA MENGNIU DAIRY CO,20.05,16.66,HKD,HKD, Hong Kong ,#N/A Field Not Applicable,HK,"9,993 Million",,," 3,935.29 ",,, 39.09 ,,"17,915,030",,"43,335,206",,,18.59%,21.25%,21.25%,21.25%,21.25%,75%,75%," 140,990 "," 105,742 "," 105,742 "
,JP3475350009,4568 JP,"18,400",DAIICHI SANKYO CO LTD,4936,,JPY,, Tokyo ,Tokyo Prime,,"68,375 Million",,," 1,947.03 ",,, 39.32 ,,"4,433,980",,"144,288,814",,,18.69%,21.25%,21.25%,21.25%,21.25%,75%,75%," 603,953 "," 452,964 "," 452,964 "
